doc_id,filename,title,material_class,source_split,year,doc_type,char_count,text_preview
D1,BiodegPolymersS.pdf,Biodegradable Polymers,polymer,seen,1998,review,203114,"BIODEGRADABLE POLYMERS R. CHANDRA, RENU RUSTGI Department of Polymer Technology and Applied Chemistry, Delhi College of Engineering, Delhi-110006, India 1273 Pergamon Prog. Polym. Sci. , Vol. 23, 1273±1335, 1998 Copyright /H170151998 Elsevier Science Ltd Printed in Great Britain. All rights reserved. 0079±6700/98 $ − see front matter S0079±6700(97)00039±7 CONTENTS 1. General introduction 1274 2. Natural biodegradable polymers 1275 2.1. Polysaccharides 1275 2.1.1. Starch 1276 2.1.2. Cellulose 127"
D2,BiodegradablePolymers2025U.pdf,Biodegradable Polymers Blends and Biocomposites Trends and Applications,polymer,unseen,2025,book,1025239,"Biodegradable Polymers, Blends and Biocomposites Biobased biodegradable polymers are emerging as an alternative to fossil fuel-based plastics. Biodegradable Polymers, Blends and Biocomposites: Trends and Applications discusses trends in the development of microbial/other renewable source-based bioplastic products, their blends and biocomposites applications in various industrial fields. It covers biodegradable polymeric materials preparation, extraction, formulation, modification of properties, "
D3,HydrogelWikiS.pdf,Hydrogel,polymer,seen,2025,reference,75032,"Gelatin, here in sheets for cooking, is a hydrogel. Peptide hydrogel formation shown by the inverted vial method. IUPAC definition for a hydrogel Hydrogel A hydrogel is a biphasic material, a mixture of porous and permeable solids and at least 10% of water or other interstitial fluid.[1][2] The solid phase is a water insoluble three dimensional network of polymers, having absorbed a large amount of water or biological fluids.[2][3][4][5] Hydrogels have several applications, especially in the bio"
D4,PeptideHydrogelU.pdf,Peptide Based Hydrogels Biomaterials From Synthesis to Biomedical Applications,polymer,unseen,2025,review,61734,"E-ISSN: 2829-7687 Journal of Fibers and Polymer Composites Vol. 4 No. 1 (2025): 11-32 https://doi.org/10.55043/jfpc.v4i1.241 Received February 7, 2025; Received in revised form March 9, 2025; Accepted March 12, 2025; Published March 29, 2025 * First corresponding author Email: nasmiherlina336@gmail.com © 2024 The Authors. Published by Green Engineering Society on Journal of Fibers and Polymer Composites This is an open access article under the CC BY-SA 4.0 license https://creativecommons.org/lic"
D5,TitaniumImplantsS.pdf,Titanium Dental Implants An Overview of Applied Nanobiotechnology to Improve Biocompatibility and Prevent Infections,metal,seen,2022,review,81221,"Citation: Silva, R.C.S.; Agrelli, A.; Andrade, A.N.; Mendes-Marques, C.L.; Arruda, I.R.S.; Santos, L.R.L.; Vasconcelos, N.F.; Machado, G. Titanium Dental Implants: An Overview of Applied Nanobiotechnology to Improve Biocompatibility and Prevent Infections. Materials 2022, 15, 3150. https://doi.org/10.3390/ ma15093150 Academic Editors: Ani¸ soara Cîmpean and Florin Miculescu Received: 29 March 2022 Accepted: 21 April 2022 Published: 27 April 2022 Publisher’s Note: MDPI stays neutral with regard t"
D6,ImplantsSpringer2025U.pdf,A Comprehensive Review Surface Modification Strategies to Enhance Corrosion Resistance of Zirconia Based Biomaterials in Implant Applications,ceramic,unseen,2025,review,109344,"Srinivasan et al. J Mater. Sci: Mater Eng. (2025) 20:76 https://doi.org/10.1186/s40712-025-00294-9 REVIEW ARTICLE Open Access © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes wer"
D7,HydroxyapatiteS.pdf,Hydroxyapatite in Oral Care Products A Review,ceramic,seen,2021,review,91513,"materials Review Hydroxyapatite in Oral Care Products—A Review Lijie Chen 1, Suma Al-Bayatee 1, Zohaib Khurshid 1,2 , Amin Shavandi 3 , Paul Brunton 1 and Jithendra Ratnayake 1,* /gid00030/gid00035/gid00032/gid00030/gid00038/gid00001/gid00033/gid00042/gid00045/gid00001 /gid00048/gid00043/gid00031/gid00028/gid00047/gid00032/gid00046 Citation: Chen, L.; Al-Bayatee, S.; Khurshid, Z.; Shavandi, A.; Brunton, P .; Ratnayake, J. Hydroxyapatite in Oral Care Products—A Review. Materials 2021, 14, 4865. h"
D8,HydroxyapatiteBoneTissue2025U.pdf,Application of Hydroxyapatite Composites in Bone Tissue Engineering A Review,ceramic,unseen,2025,review,83551,"Academic Editors: Vladyslav Vivcharenko, Paulina Kazimierczak and Masakazu Kawashita Received: 19 January 2025 Revised: 24 March 2025 Accepted: 25 March 2025 Published: 2 April 2025 Citation: Liu, W.; Cheong, N.; He, Z.; Zhang, T. Application of Hydroxyapatite Composites in Bone Tissue Engineering: A Review. J. Funct. Biomater. 2025, 16, 127. https:// doi.org/10.3390/jfb16040127 Correction Statement: This article has been republished with a minor change. The change does not affect the scientific"
D9,BioComposite2021S.pdf,A Review on Bio Composite Materials,composite,seen,2021,review,32938,IOP Conference Series: Materials Science and Engineering PAPER • OPEN ACCESS A Review on Bio-Composite Materials To cite this article: S Manikandan et al 2021 IOP Conf. Ser.: Mater. Sci. Eng. 1084 012127 View the article online for updates and enhancements. This content was downloaded from IP address 82.117.84.51 on 10/03/2021 at 01:18 Content from this work may be used under the terms of the Creative Commons Attribution 3.0 licence. Any further distribution of this work must maintain attributio
D10,HAPCLcomposites2026U.pdf,Hydroxyapatite and Polycaprolactone Composites as Potential Biomaterials in Biomedical Applications,composite,unseen,2025,review,144543,"International Journal of Polymeric Materials and Polymeric Biomaterials ISSN: 0091-4037 (Print) 1563-535X (Online) Journal homepage: www.tandfonline.com/journals/gpom20 Hydroxyapatite and polycaprolactone composites as potential biomaterials in biomedical applications Oyku Copur, Aysen Tezcaner & Zafer Evis To cite this article: Oyku Copur, Aysen Tezcaner & Zafer Evis (14 Jun 2025): Hydroxyapatite and polycaprolactone composites as potential biomaterials in biomedical applications, International"
D11,BiogelsU.pdf,Tough Gelatin Based Biogels for Wearable Sensors,polymer,unseen,2025,review,30700,"Yin et al. Soft Sci. 2025, 5, 30 DOI: 10.20517/ss.2025.15 Soft Science © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License (https://creativecommons.org/licenses/by/4.0/ ), which permits unrestricted use, sharing, adaptation, distribution and reproduction in any medium or format, for any purpose, even commercially, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Co"
D12,BiomatDesing2025U.pdf,Smart Ways of Biomaterial Designing Synthesis and Characterization,polymer|composite,unseen,2025,book,1001430,"Smart Ways of Biomaterial Designing Synthesis and Characterization Smart Ways of Biomaterial Designing Synthesis and Characterization Prospects of Enhanced Application From Labs to Clinics Editors Arvind K. Singh Chandel Assistant Professor Department of Chemical System Engineering The University of Tokyo Tokyo, Japan Arpana Parihar Department of Translational Medicine All India Institute of Medical Sciences Bhopal, Madhya Pradesh, India Raju Khan Industrial Waste Utilization, Nano & Biomaterial"
D13,CookbookPC2025U.pdf,Biomaterial Recipes for 3D Printing A Cookbook of Sustainable and Extrudable Bio Pastes,polymer|composite,unseen,2025,book,63064,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires "
