qid,question,question_type,material_class,source_split,options,gold_answer,baseline_answer,rag_answer,retrieved_chunk_ids
Q1,Why is titanium widely used for dental implants?,open_ended,metal,seen,,Titanium is used due to its excellent biocompatibility corrosion resistance mechanical strength and ability to osseointegrate with bone tissue.,"Titanium is widely used for dental implants because it is biocompatible, meaning it does not cause adverse reactions in the body. It also has excellent corrosion resistance and mechanical strength, allowing it to withstand the forces of chewing. Additionally, titanium can osseointegrate, forming a strong bond with the jawbone, which ensures implant stability and longevity.","Titanium is widely used for dental implants because it is non-toxic, highly biocompatible, and bioinert, inducing little or no deleterious effect on surrounding tissue. Its ability to quickly form a corrosion-resistant oxide layer (TiO2) enhances its biocompatibility. Additionally, titanium implants are compatible with CT and MRI and have superior mechanical strength and low density.",D5_C007;D5_C004;D5_C008;D5_C013
Q2,What are the main biomedical applications of peptide-based hydrogels?,open_ended,polymer,unseen,,Peptide hydrogels are used in drug delivery tissue engineering wound healing and regenerative medicine.,"Peptide-based hydrogels are primarily used in biomedical applications such as tissue engineering, drug delivery, and wound healing. Their biocompatibility, tunable mechanical properties, and ability to mimic the extracellular matrix make them ideal scaffolds for cell growth and controlled release of therapeutics. Additionally, their injectable and stimuli-responsive nature enables minimally invasive therapies and localized treatment.","The main biomedical applications of peptide-based hydrogels are drug delivery, tissue engineering, wound healing, neuroinflammation reduction, neural tissue regeneration, and immunomodulation support. They serve as cell carriers, medication delivery vehicles, and bridges to connect injured tissues, promoting therapeutic effects such as neuron regeneration and activation of endogenous neural stem cells.",D4_C029;D4_C003;D4_C047;D3_C036
Q3,Which property of hydroxyapatite most directly supports bone bonding?,mcq,ceramic,seen,A) Electrical conductivity|B) Bioactivity and osteoconductivity|C) Optical transparency|D) High thermal conductivity,B,B,B,D8_C007;D8_C040;D8_C041;D8_C008
Q4,Why are composite biomaterials preferred over single-material implants?,open_ended,composite,seen,,Composites allow tailoring of mechanical and biological properties combining strength bioactivity and degradation control.,"Composite biomaterials are preferred over single-material implants because they combine the beneficial properties of different materials, such as improved mechanical strength, biocompatibility, and tailored degradation rates. This synergy allows composites to better mimic the natural tissue environment and enhance implant performance. Additionally, composites can reduce drawbacks associated with individual materials, such as brittleness or poor bioactivity.","Composite biomaterials are preferred because they inherit heterogeneous properties allowing tailoring of physical, chemical, and mechanical properties to meet specific medical implant requirements. They overcome limitations of traditional single-material implants, such as poor biocompatibility and corrosion resistance, by mimicking natural bone and tissue characteristics, offering enhanced mechanical strength, corrosion resistance, and biological function compatibility.",D9_C003;D9_C004;D9_C014;D9_C019
Q5,What is a key limitation of pure hydroxyapatite in biomedical use?,short_answer,ceramic,seen,,Poor mechanical strength and brittleness.,"A key limitation of pure hydroxyapatite in biomedical use is its brittleness and low mechanical strength, which makes it unsuitable for load-bearing applications. While it is biocompatible and osteoconductive, its poor fracture toughness limits its durability in structural implants. Therefore, it is often combined with polymers or metals to improve mechanical performance.","A key limitation of pure hydroxyapatite is its mechanical weakness, including low compressive strength and wear resistance, especially when sintered at low temperatures, which restricts its use in load-bearing applications.",D8_C007;D7_C005;D7_C079;D8_C040
Q6,Why are polymers like PCL combined with hydroxyapatite?,reasoning,composite,unseen,,PCL improves flexibility and degradation while hydroxyapatite improves bioactivity and bone integration.,"Polymers like polycaprolactone (PCL) are combined with hydroxyapatite (HA) to create composite biomaterials that leverage the mechanical flexibility and biodegradability of PCL with the osteoconductivity and bioactivity of HA. This combination enhances the scaffold's ability to support bone cell attachment, proliferation, and mineralization, making it more suitable for bone tissue engineering. Additionally, the HA improves the composite’s mechanical strength and mimics the mineral phase of natural bone.","Polymers like PCL are combined with hydroxyapatite (HA) to enhance the overall material performance by improving mechanical properties, osteogenic differentiation, and mineralization. This combination addresses HA’s brittleness and PCL’s low stiffness, resulting in composites with controlled degradation, better biocompatibility, osteoconductivity, and suitable structural properties for biomedical applications such as bone tissue engineering and wound healing.",D10_C007;D10_C002;D8_C031;D10_C009
Q7,What biological process allows titanium implants to integrate with bone?,short_answer,metal,seen,,Osseointegration.,"The biological process that allows titanium implants to integrate with bone is called osseointegration. This involves the direct structural and functional connection between living bone and the surface of the titanium implant. During osseointegration, bone cells grow and attach onto the implant surface, creating a stable and strong bond without fibrous tissue interference. This process ensures the implant's long-term stability and functionality.","The biological process that allows titanium implants to integrate with bone is osseointegration. This involves a sequence of events after implant insertion, including immune and inflammatory responses, angiogenesis, and osteogenesis. Key steps include the anchorage of blood proteins to the implant surface, cell interaction via integrins, and the release of cytokines and growth factors that induce collagen matrix deposition and initial bone tissue formation.",D5_C015;D5_C016;D5_C019;D5_C018
Q8,Which application is NOT suitable for biodegradable polymers?,mcq,polymer,seen,A) Drug delivery|B) Tissue scaffolds|C) Temporary implants|D) Permanent load-bearing implants,D,D,D,D2_C031;D2_C915;D2_C148;D2_C603
Q9,How do hydroxyapatite composites improve bone regeneration?,multi_hop,ceramic,unseen,,They improve mechanical strength bioactivity and support vascularization leading to better bone regeneration.,"Hydroxyapatite (HA) composites improve bone regeneration by providing a biocompatible and osteoconductive scaffold that closely mimics the mineral component of natural bone. This promotes cell adhesion, proliferation, and differentiation of osteoblasts, enhancing new bone formation. Additionally, HA composites often possess suitable mechanical strength and porosity, supporting tissue ingrowth and vascularization essential for effective bone healing.","Hydroxyapatite composites improve bone regeneration by enhancing mechanical properties and promoting vascularization, which together facilitate more effective bone repair. Ion-doped composites, such as magnesium-doped nano-hydroxyapatite, regulate osteogenic differentiation and endothelial cell function through ion release and signaling pathways like Runx2/VEGF, enabling coupled mineralization and neovascularization. Additionally, structurally optimized composites provide physical guidance for cell migration and maintain pro-angiogenic phenotypes, further supporting bone tissue regeneration.",D8_C047;D8_C048;D8_C044;D8_C054
Q10,Why can titanium alloys cause biological issues compared to pure titanium?,reasoning,metal,seen,,They may release toxic elements such as aluminum or vanadium causing inflammation or cytotoxicity.,"Titanium alloys can cause biological issues compared to pure titanium because the alloying elements (such as aluminum and vanadium) may release ions through corrosion, leading to potential cytotoxicity or inflammatory responses. In contrast, pure titanium forms a stable oxide layer that is highly biocompatible and inert, minimizing adverse tissue reactions. Thus, the presence of alloying elements increases the risk of biological complications.","Titanium alloys can cause biological issues compared to pure titanium because small quantities of aluminum and vanadium are eventually released from the alloys. Aluminum inhibits bone mineralization, leading to bone malformation, and vanadium is cytotoxic and may induce allergic reactions.",D5_C008;D5_C013;D5_C007;D5_C012
Q11,Why is matching elastic modulus important in implant materials?,reasoning,general,seen,,Mismatch can cause stress shielding and poor load transfer reducing implant stability.,"Matching the elastic modulus of implant materials to that of the surrounding bone is important to prevent stress shielding, where a stiffer implant takes on too much load, causing bone resorption and weakening. Proper modulus matching ensures efficient load transfer and maintains bone health and implant stability over time. This improves the longevity and biocompatibility of the implant.","Matching elastic modulus in implant materials is important because it allows the implant to have mechanical characteristics closer to natural bone, which ensures better mechanical strength, bio compatibility, and bone restoration. It helps reduce stress shielding effects and facilitates proper load and fluid motion transfer, leading to long-term patient comfort and better biomechanical bonding.",D9_C020;D9_C016;D9_C009;D6_C037
Q12,If a material has high bioactivity but low strength what is a common solution?,multi_hop,composite,unseen,,Combine it with a stronger material in a composite to balance properties.,"If a material has high bioactivity but low strength, a common solution is to combine it with a stronger material to form a composite. For example, bioactive ceramics like hydroxyapatite are often reinforced with polymers or metals to enhance mechanical properties while maintaining bioactivity. This approach balances biological performance with structural integrity for implant applications.","A common solution is to create composites combining bioactive ceramics with degradable polymers to achieve sufficient mechanical strength while maintaining high bioactivity. This approach enhances biocompatibility, biodegradability, and mechanical performance for targeted applications.",D10_C005;D10_C082;D9_C013;D8_C029
Q13,Why is biodegradability important in some biomaterials?,open_ended,polymer,seen,,It allows materials to safely degrade in the body eliminating need for removal surgery.,"Biodegradability is important in some biomaterials because it allows the material to be gradually broken down and absorbed by the body, eliminating the need for surgical removal. This property supports tissue regeneration and reduces long-term foreign body reactions. Additionally, biodegradable materials minimize chronic inflammation and improve patient outcomes in applications like sutures, drug delivery systems, and tissue scaffolds.","Biodegradability is important in some biomaterials to reduce environmental contamination caused by plastics, minimize labor and landfill needs for waste collection, and allow safe disposal without long-term environmental impact. It also makes biopolymers suitable for medical applications and food packaging, where biodegradation prevents accumulation in the environment and avoids diminishing material properties through recycling processes.",D2_C871;D2_C137;D2_C700;D2_C914
Q14,How does porosity affect biomaterial performance?,reasoning,general,unseen,,Porosity affects cell growth nutrient flow vascularization and tissue integration.,"Porosity in biomaterials influences cell infiltration, nutrient transport, and tissue integration, enhancing biological performance. Higher porosity generally improves cellular response and vascularization but can reduce mechanical strength. Therefore, optimal porosity balances structural integrity with biological functionality for effective tissue regeneration.","Porosity affects biomaterial performance by influencing cell proliferation, differentiation, bioactivity, and mechanical properties. Higher porosity in scaffolds allows for greater cell viability and bioactivity, especially in bone tissue regeneration. Increased porosity can be achieved without compromising scaffold structure, and materials like HA/PCL composites with higher porosity show improved compressive strength and bioactivity.",D10_C004;D10_C137;D10_C038;D9_C027
Q15,Which material class is typically brittle but strong under compression?,mcq,ceramic,seen,A) Polymers|B) Metals|C) Ceramics|D) Hydrogels,C,C,C,D6_C076;D10_C059;D6_C075;D9_C009
Q16,Why are hydroxyapatite coatings applied on metallic implants?,multi_hop,composite,seen,,They improve bone bonding while the metal provides strength.,"Hydroxyapatite coatings are applied on metallic implants to enhance their biocompatibility and promote bone integration. Hydroxyapatite is a bioactive ceramic that closely resembles the mineral component of natural bone, facilitating direct bonding between the implant and surrounding bone tissue. This coating improves implant stability and accelerates osseointegration, reducing healing time and increasing implant longevity.","Hydroxyapatite coatings on metallic implants are applied because they promote bone formation, exhibit excellent biocompatibility and bioactivity, and facilitate integration between new and old bone tissue due to their bone conduction properties. Additionally, hydroxyapatite-coated alloys have shown good bioactivity and biodegradability, enhancing the osseous response and bone regeneration around implants.",D5_C082;D5_C081;D7_C079;D8_C019
Q17,Can hydroxyapatite alone replace load-bearing implants?,unanswerable,ceramic,unseen,,Unknown,"Hydroxyapatite alone is generally not suitable for load-bearing implants because it is brittle and has low tensile and fatigue strength. While it is highly biocompatible and osteoconductive, it lacks the mechanical properties required to withstand the stresses in load-bearing applications. Therefore, hydroxyapatite is often used as a coating or in composite materials combined with metals or polymers to provide both bioactivity and mechanical strength.","No, hydroxyapatite alone cannot replace load-bearing implants. Pure hydroxyapatite has mechanical limitations and defects such as processing complexity and inhomogeneity of mechanical properties that affect its effectiveness in load-bearing applications. Composite hydroxyapatite materials combined with reinforcements like silica and carbon nanotubes show improved mechanical properties, making them more suitable for such uses.",D8_C007;D8_C053;D8_C061;D8_C054
Q18,Why is surface modification important for titanium implants?,reasoning,metal,seen,,It improves osseointegration reduces infection and enhances biological interaction.,"Surface modification is important for titanium implants because it enhances biocompatibility and promotes better osseointegration by improving cell attachment and proliferation on the implant surface. Additionally, it can reduce the risk of infection and corrosion, thereby increasing the implant's longevity and overall success in the body.","Surface modification is important for titanium implants because it changes the physicochemical properties such as morphology, wettability, and roughness, which improve the implant's adaptability to the environment. It also confers new properties like antibacterial action and enhanced interaction with the cell environment, promoting faster osseointegration, cell adhesion, proliferation, migration, and differentiation.",D5_C039;D5_C079;D5_C006;D5_C075
Q19,What trade-off exists in biodegradable polymers?,reasoning,polymer,unseen,,Higher biodegradability often reduces mechanical strength.,"The trade-off in biodegradable polymers is between mechanical strength and degradation rate. Polymers with higher mechanical strength tend to degrade more slowly, while those that degrade quickly often have weaker mechanical properties. Balancing this trade-off is crucial for designing biomaterials that maintain functionality during their intended lifespan before safely breaking down.","The trade-off in biodegradable polymers is between biodegradability and material performance. Higher molecular weight improves material performance such as mechanical strength, thermal stability, and barrier properties, but decreases biodegradability and biodegradation rate.",D2_C914;D2_C603;D2_C185;D2_C713
Q20,Which design strategy improves both mechanical and biological performance?,mcq,composite,unseen,A) Use single material only|B) Reduce porosity completely|C) Combine materials in composites|D) Increase density only,C,C,C,D9_C033;D8_C057;D5_C054;D10_C004
