qid,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,material_class,source_split,source_doc,difficulty
Q1,What process defines biodegradation of polymers?,Electrical discharge,Polymer crystallization,Magnetic decay,Microbial breakdown into simpler compounds,Thermal melting,Unknown,D,polymer,seen,BiodegPolymersS,medium
Q2,Which organisms play a central role in polymer biodegradation?,Photons,Electrons,Microorganisms such as bacteria and fungi,Metals,Viruses only,Unknown,C,polymer,seen,BiodegPolymersS,easy
Q3,Which polymer structure factor most affects biodegradation rate?,Molecular weight,Color,Magnetic field,Transparency,Shape only,Unknown,A,polymer,seen,BiodegPolymersS,medium
Q4,Which application is common for biodegradable polymers in medicine?,Magnetic storage,Nuclear shielding,Drug delivery systems,Permanent bone plates,Electrical wiring,Unknown,C,polymer,seen,BiodegPolymersS,easy
Q5,What is a key property of titanium enabling its use in implants?,Magnetic behavior,High solubility,Formation of TiO2 oxide layer,Low melting point,Transparency,Unknown,C,metal,seen,TitaniumImplantsS,easy
Q6,Which property makes titanium biocompatible?,High toxicity,High density,Stable oxide surface layer,Magnetic polarity,Electrical conduction,Unknown,C,metal,seen,TitaniumImplantsS,medium
Q7,What biological process allows implants to integrate with bone?,Diffusion,Oxidation,Osseointegration,Polymerization,Hydration,Unknown,C,metal,seen,TitaniumImplantsS,easy
Q8,Why are surface modifications applied to titanium implants?,Reduce corrosion completely,Add magnetism,Decrease strength,Increase density,Improve osseointegration,Unknown,E,metal,seen,TitaniumImplantsS,medium
Q9,Which factor can cause titanium alloy complications?,Magnetic shielding,High density,Improved strength,Release of Al and V ions,Low temperature,Unknown,D,metal,seen,TitaniumImplantsS,hard
Q10,Which property is essential for an ideal implant material?,Biocompatibility,Transparency,Conductivity,Magnetism,Color,Unknown,A,metal,seen,TitaniumImplantsS,easy
Q11,Why is hydroxyapatite widely used in bone engineering?,It is metallic,It dissolves instantly,It mimics bone mineral composition,It conducts electricity,It is magnetic,Unknown,C,ceramic,unseen,HydroxyapatiteBoneTissue2025U,easy
Q12,What is a limitation of pure hydroxyapatite?,High density,Magnetic instability,Low mechanical strength,High conductivity,High flexibility,Unknown,C,ceramic,unseen,HydroxyapatiteBoneTissue2025U,medium
Q13,Why are hydroxyapatite composites used instead of pure HA?,To reduce cell growth,To eliminate bioactivity,To improve mechanical properties,To reduce cost only,To increase toxicity,Unknown,C,composite,unseen,HydroxyapatiteBoneTissue2025U,easy
Q14,What is the role of scaffolds in bone tissue engineering?,Support cell growth and regeneration,Magnetic alignment,Heat transfer,Electrical conduction,Color modification,Unknown,A,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q15,Which factor improves bone regeneration in composites?,Color change,Optical reflection,Thermal expansion,Magnetic field,Ion signaling and vascularization,Unknown,E,composite,unseen,HydroxyapatiteBoneTissue2025U,hard
Q16,What is a key advantage of composite biomaterials?,High toxicity,Single property optimization,Magnetic behavior,Multi-property tuning,Low durability,Unknown,D,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q17,Which application is NOT supported by biodegradable polymer context?,Bone fixation devices,Packaging materials,Drug delivery,Surgical sutures,Quantum computing implants,Unknown,F,polymer,seen,BiodegPolymersS,hard
Q18,Which process contributes to osseointegration after implantation?,Magnetic alignment,Angiogenesis and osteogenesis,Electrical discharge,Color change,Thermal conduction,Unknown,B,metal,seen,TitaniumImplantsS,hard
Q19,What is the function of extracellular matrix mimicry in scaffolds?,Increase conductivity,Add magnetism,Guide cell behavior,Reduce porosity,Increase density,Unknown,C,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q20,Which statement cannot be answered from the provided documents?,Hydroxyapatite mimics bone,Titanium forms oxide layer,Exact quantum properties of implants,Biodegradation involves microorganisms,Polymers degrade enzymatically,Unknown,F,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q21,Why is hydroxyapatite suitable for dental applications?,It dissolves rapidly,It conducts electricity,It mimics tooth mineral composition,It is magnetic,It is metallic,Unknown,C,ceramic,seen,HydroxyapatiteS,easy
Q22,What is the main function of hydroxyapatite in toothpaste?,Remineralisation of enamel,Magnetic alignment,Electrical conduction,Color enhancement,Heat resistance,Unknown,A,ceramic,seen,HydroxyapatiteS,easy
Q23,Why are nano-HA particles more effective than micro-HA?,Lower cost,Magnetic properties,Higher weight,Lower density,Better penetration into enamel defects,Unknown,E,ceramic,seen,HydroxyapatiteS,medium
Q24,What is a limitation of hydroxyapatite oral products?,Magnetic instability,Too strong mechanically,High toxicity,Limited clinical evidence,No bioactivity,Unknown,D,ceramic,seen,HydroxyapatiteS,medium
Q25,What process reverses demineralisation in teeth?,Remineralisation,Magnetization,Oxidation,Evaporation,Polymerization,Unknown,A,ceramic,seen,HydroxyapatiteS,easy
Q26,Why is saliva important in remineralisation?,Provides oxygen,Provides energy,Provides heat,Provides calcium and phosphate ions,Provides enzymes only,Unknown,D,ceramic,seen,HydroxyapatiteS,medium
Q27,What is a defining property of composite materials?,Transparency,Magnetic behavior,Single material structure,Combination of multiple materials,Only metallic nature,Unknown,D,composite,seen,BioComposite2021S,easy
Q28,Why are composites preferred over traditional materials?,Lower density always,Magnetic advantages,Ability to tailor properties,Higher toxicity,Lower strength only,Unknown,C,composite,seen,BioComposite2021S,easy
Q29,What is a key advantage of bio-composites in implants?,Low durability,Magnetic alignment,Transparency,Uniform structure,Property customization,Unknown,E,composite,seen,BioComposite2021S,medium
Q30,What is a limitation of traditional implant materials?,Too flexible,Magnetic behavior,Too biocompatible,Low strength always,Inability to tailor properties,Unknown,E,composite,seen,BioComposite2021S,medium
Q31,What is the role of filler materials in composites?,Increase toxicity,Reduce strength,Add magnetism,Reduce durability,Improve mechanical properties,Unknown,E,composite,seen,BioComposite2021S,medium
Q32,Why are functionally graded materials (FGM) useful?,Magnetic tuning,Only aesthetic use,Gradual property variation,Uniform properties,Lower strength,Unknown,C,composite,seen,BioComposite2021S,hard
Q33,What is a major advantage of peptide-based hydrogels?,Biocompatibility and biodegradability,High conductivity,Low water absorption,Magnetic properties,Metallic strength,Unknown,A,polymer,unseen,PeptideHydrogelU,easy
Q34,What allows peptide hydrogels to form 3D structures?,Heat only,Pressure only,Self-assembly of peptides,Electric current,Magnetic forces,Unknown,C,polymer,unseen,PeptideHydrogelU,medium
Q35,Why are peptide hydrogels useful for drug delivery?,They increase toxicity,They block diffusion,They reduce stability,They allow controlled release,They destroy drugs,Unknown,D,polymer,unseen,PeptideHydrogelU,easy
Q36,What is a limitation of peptide hydrogels?,Weak mechanical strength,Perfect stability,High conductivity,High toxicity,Magnetic instability,Unknown,A,polymer,unseen,PeptideHydrogelU,medium
Q37,What property helps hydrogels mimic biological tissue?,Electrical conductivity,High density,Magnetic alignment,Transparency,Extracellular matrix-like structure,Unknown,E,polymer,unseen,PeptideHydrogelU,medium
Q38,Which mechanism enables hydrogel responsiveness?,Temperature only,Magnetic control only,Response to pH and environment,Static structure only,Electrical signals only,Unknown,C,polymer,unseen,PeptideHydrogelU,hard
Q39,Which statement cannot be inferred from the documents?,Exact electronic band structure of HA,Hydrogels allow drug delivery,Composites combine materials,Hydroxyapatite aids remineralisation,FGM tailor properties,Unknown,F,general,unseen,PeptideHydrogelU,hard
Q40,Which combination best improves implant performance?,Composite with tailored properties,Single material only,Only ceramics,Only polymers,Only metals,Unknown,A,composite,seen,BioComposite2021S,medium
Q41,Why are biodegradable polymers considered an alternative to fossil-based plastics?,They increase waste,They are metallic,They are magnetic,They are non-renewable,They degrade naturally reducing pollution,Unknown,E,polymer,unseen,BiodegradablePolymers2025U,medium
Q42,What is a major environmental issue caused by conventional plastics?,Lower emissions,Increased biodegradability,Reduced waste,Improved recycling efficiency,Microplastic accumulation,Unknown,E,polymer,unseen,BiodegradablePolymers2025U,easy
Q43,Why is the adoption of biodegradable polymers limited?,Magnetic instability,High availability,Low cost,High production cost,Excess strength,Unknown,D,polymer,unseen,BiodegradablePolymers2025U,medium
Q44,Which factor complicates recycling in a circular plastic economy?,Composite materials,Magnetic properties,High biodegradability,Simple material design,Low plastic usage,Unknown,A,polymer,unseen,BiodegradablePolymers2025U,hard
Q45,What is a key benefit of biodegradable plastics in waste management?,High conductivity,Increased toxicity,Magnetic behavior,Permanent durability,Reduction of landfill pressure,Unknown,E,polymer,unseen,BiodegradablePolymers2025U,medium
Q46,Why are biopolymers important for sustainability?,They are magnetic,They increase pollution,They resist degradation,They are renewable and degradable,They are metallic,Unknown,D,polymer,unseen,BiodegradablePolymers2025U,easy
Q47,What is a limitation of biodegradable polymers in applications?,High conductivity,Transparency,Low mechanical performance,High flexibility only,Magnetic instability,Unknown,C,polymer,unseen,BiodegradablePolymers2025U,medium
Q48,Which approach improves biodegradable polymer properties?,Increasing cost only,Removing structure,Reducing processing,Using composites and blends,Ignoring fillers,Unknown,D,polymer,unseen,BiodegradablePolymers2025U,medium
Q49,Why is PLA widely used in biomedical applications?,It is non-degradable,It is metallic,It is magnetic,It is highly conductive,It is biocompatible and biodegradable,Unknown,E,polymer,unseen,BiodegradablePolymers2025U,easy
Q50,What limits PLA in engineering applications?,High strength,High density,Low toughness and brittleness,High conductivity,Magnetic instability,Unknown,C,polymer,unseen,BiodegradablePolymers2025U,medium
Q51,Why is zirconia considered a strong alternative to titanium implants?,It is softer,It dissolves easily,It has high fracture toughness and biocompatibility,It is magnetic,It has low strength,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,medium
Q52,What property gives zirconia excellent corrosion resistance?,Low density,High solubility,Thermal instability,Magnetic shielding,Protective oxide layer,Unknown,E,ceramic,unseen,ImplantsSpringer2025U,medium
Q53,Why is zirconia preferred in aesthetic dental implants?,It is metallic,It is highly conductive,It has tooth-like color,It is magnetic,It is transparent,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,easy
Q54,What is a limitation of zirconia implants?,High conductivity,High flexibility,Brittleness,Low density,Magnetic instability,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,medium
