qid,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,material_class,source_split,source_doc,difficulty
Q1,What process defines biodegradation of polymers?,Thermal melting,Microbial breakdown into simpler compounds,Magnetic decay,Electrical discharge,Polymer crystallization,Unknown,B,polymer,seen,BiodegPolymersS,medium
Q2,Which organisms play a central role in polymer biodegradation?,Viruses only,Microorganisms such as bacteria and fungi,Metals,Photons,Electrons,Unknown,B,polymer,seen,BiodegPolymersS,easy
Q3,Which polymer structure factor most affects biodegradation rate?,Color,Molecular weight,Transparency,Magnetic field,Shape only,Unknown,B,polymer,seen,BiodegPolymersS,medium
Q4,Which application is common for biodegradable polymers in medicine?,Permanent bone plates,Drug delivery systems,Electrical wiring,Nuclear shielding,Magnetic storage,Unknown,B,polymer,seen,BiodegPolymersS,easy
Q5,What is a key property of titanium enabling its use in implants?,High solubility,Formation of TiO2 oxide layer,Magnetic behavior,Low melting point,Transparency,Unknown,B,metal,seen,TitaniumImplantsS,easy
Q6,Which property makes titanium biocompatible?,High toxicity,Stable oxide surface layer,Magnetic polarity,Electrical conduction,High density,Unknown,B,metal,seen,TitaniumImplantsS,medium
Q7,What biological process allows implants to integrate with bone?,Polymerization,Osseointegration,Oxidation,Hydration,Diffusion,Unknown,B,metal,seen,TitaniumImplantsS,easy
Q8,Why are surface modifications applied to titanium implants?,Reduce corrosion completely,Improve osseointegration,Increase density,Add magnetism,Decrease strength,Unknown,B,metal,seen,TitaniumImplantsS,medium
Q9,Which factor can cause titanium alloy complications?,Improved strength,Release of Al and V ions,High density,Low temperature,Magnetic shielding,Unknown,B,metal,seen,TitaniumImplantsS,hard
Q10,Which property is essential for an ideal implant material?,Color,Biocompatibility,Magnetism,Transparency,Conductivity,Unknown,B,metal,seen,TitaniumImplantsS,easy
Q11,Why is hydroxyapatite widely used in bone engineering?,It conducts electricity,It mimics bone mineral composition,It is magnetic,It dissolves instantly,It is metallic,Unknown,B,ceramic,unseen,HydroxyapatiteBoneTissue2025U,easy
Q12,What is a limitation of pure hydroxyapatite?,High flexibility,Low mechanical strength,High conductivity,Magnetic instability,High density,Unknown,B,ceramic,unseen,HydroxyapatiteBoneTissue2025U,medium
Q13,Why are hydroxyapatite composites used instead of pure HA?,To reduce cost only,To improve mechanical properties,To eliminate bioactivity,To increase toxicity,To reduce cell growth,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,easy
Q14,What is the role of scaffolds in bone tissue engineering?,Heat transfer,Support cell growth and regeneration,Magnetic alignment,Electrical conduction,Color modification,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q15,Which factor improves bone regeneration in composites?,Color change,Ion signaling and vascularization,Magnetic field,Thermal expansion,Optical reflection,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,hard
Q16,What is a key advantage of composite biomaterials?,Single property optimization,Multi-property tuning,High toxicity,Low durability,Magnetic behavior,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q17,Which application is NOT supported by biodegradable polymer context?,Drug delivery,Surgical sutures,Bone fixation devices,Quantum computing implants,Packaging materials,Unknown,F,polymer,seen,BiodegPolymersS,hard
Q18,Which process contributes to osseointegration after implantation?,Angiogenesis and osteogenesis,Magnetic alignment,Color change,Thermal conduction,Electrical discharge,Unknown,A,metal,seen,TitaniumImplantsS,hard
Q19,What is the function of extracellular matrix mimicry in scaffolds?,Increase density,Guide cell behavior,Add magnetism,Increase conductivity,Reduce porosity,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q20,Which statement cannot be answered from the provided documents?,Titanium forms oxide layer,Hydroxyapatite mimics bone,Biodegradation involves microorganisms,Polymers degrade enzymatically,Exact quantum properties of implants,Unknown,F,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q21,Why is hydroxyapatite suitable for dental applications?,It is metallic,It mimics tooth mineral composition,It conducts electricity,It dissolves rapidly,It is magnetic,Unknown,B,ceramic,seen,HydroxyapatiteS,easy
Q22,What is the main function of hydroxyapatite in toothpaste?,Color enhancement,Remineralisation of enamel,Heat resistance,Magnetic alignment,Electrical conduction,Unknown,B,ceramic,seen,HydroxyapatiteS,easy
Q23,Why are nano-HA particles more effective than micro-HA?,Lower cost,Better penetration into enamel defects,Higher weight,Magnetic properties,Lower density,Unknown,B,ceramic,seen,HydroxyapatiteS,medium
Q24,What is a limitation of hydroxyapatite oral products?,Too strong mechanically,Limited clinical evidence,High toxicity,Magnetic instability,No bioactivity,Unknown,B,ceramic,seen,HydroxyapatiteS,medium
Q25,What process reverses demineralisation in teeth?,Oxidation,Remineralisation,Polymerization,Evaporation,Magnetization,Unknown,B,ceramic,seen,HydroxyapatiteS,easy
Q26,Why is saliva important in remineralisation?,Provides energy,Provides calcium and phosphate ions,Provides oxygen,Provides heat,Provides enzymes only,Unknown,B,ceramic,seen,HydroxyapatiteS,medium
Q27,What is a defining property of composite materials?,Single material structure,Combination of multiple materials,Only metallic nature,Magnetic behavior,Transparency,Unknown,B,composite,seen,BioComposite2021S,easy
Q28,Why are composites preferred over traditional materials?,Lower strength only,Ability to tailor properties,Higher toxicity,Magnetic advantages,Lower density always,Unknown,B,composite,seen,BioComposite2021S,easy
Q29,What is a key advantage of bio-composites in implants?,Uniform structure,Property customization,Low durability,Magnetic alignment,Transparency,Unknown,B,composite,seen,BioComposite2021S,medium
Q30,What is a limitation of traditional implant materials?,Too flexible,Inability to tailor properties,Too biocompatible,Magnetic behavior,Low strength always,Unknown,B,composite,seen,BioComposite2021S,medium
Q31,What is the role of filler materials in composites?,Reduce strength,Improve mechanical properties,Add magnetism,Increase toxicity,Reduce durability,Unknown,B,composite,seen,BioComposite2021S,medium
Q32,Why are functionally graded materials (FGM) useful?,Uniform properties,Gradual property variation,Only aesthetic use,Magnetic tuning,Lower strength,Unknown,B,composite,seen,BioComposite2021S,hard
Q33,What is a major advantage of peptide-based hydrogels?,Magnetic properties,Biocompatibility and biodegradability,High conductivity,Metallic strength,Low water absorption,Unknown,B,polymer,unseen,PeptideHydrogelU,easy
Q34,What allows peptide hydrogels to form 3D structures?,Heat only,Self-assembly of peptides,Magnetic forces,Electric current,Pressure only,Unknown,B,polymer,unseen,PeptideHydrogelU,medium
Q35,Why are peptide hydrogels useful for drug delivery?,They destroy drugs,They allow controlled release,They increase toxicity,They block diffusion,They reduce stability,Unknown,B,polymer,unseen,PeptideHydrogelU,easy
Q36,What is a limitation of peptide hydrogels?,Perfect stability,Weak mechanical strength,High conductivity,Magnetic instability,High toxicity,Unknown,B,polymer,unseen,PeptideHydrogelU,medium
Q37,What property helps hydrogels mimic biological tissue?,High density,Extracellular matrix-like structure,Magnetic alignment,Electrical conductivity,Transparency,Unknown,B,polymer,unseen,PeptideHydrogelU,medium
Q38,Which mechanism enables hydrogel responsiveness?,Static structure only,Response to pH and environment,Magnetic control only,Electrical signals only,Temperature only,Unknown,B,polymer,unseen,PeptideHydrogelU,hard
Q39,Which statement cannot be inferred from the documents?,Composites combine materials,Hydroxyapatite aids remineralisation,Hydrogels allow drug delivery,FGM tailor properties,Exact electronic band structure of HA,Unknown,F,general,unseen,PeptideHydrogelU,hard
