qid,question,material_class,source_split,gold_answer,baseline_answer,rag_answer,retrieved_chunk_ids
Q1,What process defines biodegradation of polymers?,polymer,seen,D,D,D,D2_C119;D2_C120;D2_C183;D2_C141
Q2,Which organisms play a central role in polymer biodegradation?,polymer,seen,C,C,C,D1_C064;D1_C061;D2_C119;D2_C190
Q3,Which polymer structure factor most affects biodegradation rate?,polymer,seen,A,A,A,D2_C700;D1_C061;D2_C701;D1_C002
Q4,Which application is common for biodegradable polymers in medicine?,polymer,seen,C,C,C,D1_C166;D2_C707;D2_C619;D2_C034
Q5,What is a key property of titanium enabling its use in implants?,metal,seen,C,C,C,D5_C007;D5_C008;D5_C010;D5_C012
Q6,Which property makes titanium biocompatible?,metal,seen,C,C,C,D5_C008;D5_C007;D5_C076;D6_C028
Q7,What biological process allows implants to integrate with bone?,metal,seen,C,C,C,D5_C016;D5_C019;D5_C018;D5_C015
Q8,Why are surface modifications applied to titanium implants?,metal,seen,E,E,E,D5_C039;D5_C006;D5_C079;D5_C038
Q9,Which factor can cause titanium alloy complications?,metal,seen,D,D,D,D5_C012;D5_C060;D5_C011;D5_C059
Q10,Which property is essential for an ideal implant material?,metal,seen,A,A,A,D9_C020;D6_C037;D5_C005;D5_C078
Q11,Why is hydroxyapatite widely used in bone engineering?,ceramic,unseen,C,C,C,D8_C007;D8_C012;D8_C060;D8_C059
Q12,What is a limitation of pure hydroxyapatite?,ceramic,unseen,C,C,C,D8_C007;D10_C112;D7_C079;D8_C059
Q13,Why are hydroxyapatite composites used instead of pure HA?,composite,unseen,C,C,C,D8_C019;D8_C037;D7_C007;D8_C053
Q14,What is the role of scaffolds in bone tissue engineering?,composite,unseen,A,A,A,D8_C004;D8_C057;D8_C005;D8_C009
Q15,Which factor improves bone regeneration in composites?,composite,unseen,E,E,E,D8_C047;D9_C013;D8_C048;D8_C003
Q16,What is a key advantage of composite biomaterials?,composite,unseen,D,D,D,D9_C003;D9_C004;D8_C016;D8_C015
Q17,Which application is NOT supported by biodegradable polymer context?,polymer,seen,F,E,E,D2_C031;D2_C148;D2_C187;D1_C045
Q18,Which process contributes to osseointegration after implantation?,metal,seen,B,B,B,D5_C016;D5_C019;D5_C018;D5_C015
Q19,What is the function of extracellular matrix mimicry in scaffolds?,composite,unseen,C,C,C,D8_C004;D8_C033;D8_C057;D8_C026
Q20,Which statement cannot be answered from the provided documents?,general,unseen,F,C,C,D2_C904;D2_C005;D2_C325;D1_C143
Q21,Why is hydroxyapatite suitable for dental applications?,ceramic,seen,C,C,C,D8_C007;D7_C005;D7_C079;D8_C040
Q22,What is the main function of hydroxyapatite in toothpaste?,ceramic,seen,A,A,A,D7_C094;D7_C082;D7_C014;D7_C015
Q23,Why are nano-HA particles more effective than micro-HA?,ceramic,seen,E,E,E,D7_C011;D7_C013;D7_C026;D7_C012
Q24,What is a limitation of hydroxyapatite oral products?,ceramic,seen,D,D,D,D7_C010;D7_C079;D7_C009;D7_C005
Q25,What process reverses demineralisation in teeth?,ceramic,seen,A,A,A,D7_C023;D7_C024;D7_C021;D7_C025
Q26,Why is saliva important in remineralisation?,ceramic,seen,D,D,D,D7_C024;D7_C023;D7_C021;D7_C022
Q27,What is a defining property of composite materials?,composite,seen,D,D,D,D9_C003;D9_C004;D2_C616;D9_C021
Q28,Why are composites preferred over traditional materials?,composite,seen,C,C,C,D9_C003;D9_C004;D8_C015;D2_C616
Q29,What is a key advantage of bio-composites in implants?,composite,seen,E,E,E,D9_C014;D9_C013;D8_C016;D9_C003
Q30,What is a limitation of traditional implant materials?,composite,seen,E,E,E,D6_C037;D5_C017;D9_C020;D9_C004
Q31,What is the role of filler materials in composites?,composite,seen,E,E,E,D2_C622;D2_C629;D9_C008;D9_C022
Q32,Why are functionally graded materials (FGM) useful?,composite,seen,C,C,C,D9_C009;D5_C050;D9_C033;D9_C020
Q33,What is a major advantage of peptide-based hydrogels?,polymer,unseen,A,A,A,D4_C003;D4_C026;D4_C029;D4_C028
Q34,What allows peptide hydrogels to form 3D structures?,polymer,unseen,C,C,C,D4_C035;D4_C026;D4_C037;D4_C012
Q35,Why are peptide hydrogels useful for drug delivery?,polymer,unseen,D,D,D,D4_C029;D4_C046;D3_C026;D4_C003
Q36,What is a limitation of peptide hydrogels?,polymer,unseen,A,A,A,D4_C003;D4_C051;D4_C023;D4_C028
Q37,What property helps hydrogels mimic biological tissue?,polymer,unseen,E,E,E,D4_C015;D4_C021;D3_C029;D3_C025
Q38,Which mechanism enables hydrogel responsiveness?,polymer,unseen,C,C,C,D3_C009;D3_C021;D3_C008;D3_C025
Q39,Which statement cannot be inferred from the documents?,general,unseen,F,A,F,D2_C005;D1_C113;D2_C325;D8_C084
Q40,Which combination best improves implant performance?,composite,seen,A,A,A,D5_C054;D5_C052;D6_C027;D6_C028
Q41,Why are biodegradable polymers considered an alternative to fossil-based plastics?,polymer,unseen,E,E,E,D2_C372;D2_C175;D2_C773;D2_C185
Q42,What is a major environmental issue caused by conventional plastics?,polymer,unseen,E,E,E,D2_C502;D2_C427;D2_C679;D2_C853
Q43,Why is the adoption of biodegradable polymers limited?,polymer,unseen,D,D,D,D2_C031;D2_C603;D2_C205;D2_C068
Q44,Which factor complicates recycling in a circular plastic economy?,polymer,unseen,A,A,A,D2_C861;D2_C806;D2_C687;D2_C819
Q45,What is a key benefit of biodegradable plastics in waste management?,polymer,unseen,E,E,E,D2_C695;D2_C774;D2_C373;D2_C381
Q46,Why are biopolymers important for sustainability?,polymer,unseen,D,D,D,D2_C864;D2_C572;D2_C703;D2_C894
Q47,What is a limitation of biodegradable polymers in applications?,polymer,unseen,C,C,C,D2_C031;D2_C914;D2_C915;D2_C603
Q48,Which approach improves biodegradable polymer properties?,polymer,unseen,D,D,D,D1_C045;D2_C593;D1_C152;D2_C187
Q49,Why is PLA widely used in biomedical applications?,polymer,unseen,E,E,E,D2_C034;D2_C035;D2_C711;D2_C033
Q50,What limits PLA in engineering applications?,polymer,unseen,C,C,C,D2_C036;D2_C712;D2_C035;D2_C034
Q51,Why is zirconia considered a strong alternative to titanium implants?,ceramic,unseen,C,C,C,D6_C006;D6_C005;D6_C045;D6_C046
Q52,What property gives zirconia excellent corrosion resistance?,ceramic,unseen,E,E,E,D6_C006;D6_C007;D6_C032;D6_C034
Q53,Why is zirconia preferred in aesthetic dental implants?,ceramic,unseen,C,C,C,D6_C006;D6_C045;D6_C011;D6_C025
Q54,What is a limitation of zirconia implants?,ceramic,unseen,C,C,C,D6_C006;D6_C011;D6_C025;D6_C014
Q55,Which technique improves zirconia osseointegration?,ceramic,unseen,A,A,A,D6_C027;D6_C089;D6_C038;D6_C085
Q56,Why are surface treatments applied to zirconia implants?,ceramic,unseen,C,C,C,D6_C069;D6_C049;D6_C074;D6_C073
Q57,Which property reduces bacterial adhesion on zirconia?,ceramic,unseen,D,D,D,D6_C059;D6_C064;D6_C073;D6_C065
Q58,Why is zirconia radiopacity important?,ceramic,unseen,D,D,D,D6_C006;D6_C005;D6_C011;D6_C014
Q59,Which factor limits zirconia compared to titanium?,ceramic,unseen,D,D,D,D6_C006;D6_C005;D6_C046;D6_C080
Q60,Which application cannot be confirmed from the provided documents?,general,unseen,F,E,E,D2_C473;D2_C005;D2_C016;D2_C825
Q61,Why is PCL considered suitable for long-term scaffolds?,polymer,unseen,A,A,A,D10_C006;D10_C094;D10_C085;D1_C040
Q62,What is a drawback of PCL in tissue regeneration?,polymer,unseen,D,D,D,D10_C006;D10_C092;D10_C085;D10_C094
Q63,Why are HA/PCL composites better than pure HA?,composite,unseen,C,C,C,D10_C009;D10_C051;D10_C060;D10_C033
Q64,Which factor can be tuned in HA/PCL composites?,composite,unseen,A,A,A,D10_C060;D10_C039;D10_C062;D10_C033
Q65,What biological effect is enhanced in HA/PCL composites?,composite,unseen,E,E,E,D10_C083;D10_C009;D10_C051;D10_C084
Q66,Why is HA brittle in biomedical applications?,ceramic,unseen,D,D,D,D7_C006;D10_C017;D8_C042;D10_C099
Q67,What is a key challenge in translating biomaterials to clinic?,general,unseen,D,D,D,D10_C053;D10_C005;D10_C054;D10_C004
Q68,Which hydroxyapatite composite class can improve processability while helping materials withstand mechanical loads?,composite,unseen,A,A,A,D8_C019;D8_C037;D8_C054;D8_C044
Q69,What is one biomedical use of HAp composites beyond bone defect repair?,composite,unseen,A,A,A,D8_C017;D8_C042;D8_C002;D8_C048
Q70,Which statement best explains why HAp composites are favored over pure HAp in scaffold design?,general,unseen,C,C,C,D8_C036;D8_C025;D8_C013;D8_C035
Q71,What is the theoretical calcium-to-phosphorus atomic ratio of hydroxyapatite?,ceramic,unseen,E,E,E,D8_C006;D8_C059;D8_C007;D7_C079
Q72,Which scaffold component is explicitly described as providing biophysical instructive signals in bone tissue engineering?,general,unseen,C,C,C,D8_C004;D8_C057;D8_C005;D8_C056
Q73,According to the zirconia review which crystalline phase of zirconia is stable at room temperature?,ceramic,unseen,E,E,E,D6_C007;D6_C008;D6_C079;D6_C080
Q74,What is the main benefit of doping zirconia with oxides such as Y2O3 or MgO?,ceramic,unseen,D,D,D,D6_C007;D6_C009;D6_C008;D6_C058
Q75,Which zirconia category is described as having 2–3 mol% Y2O3 and being highly suitable for dental use?,ceramic,unseen,E,E,E,D6_C009;D6_C007;D6_C092;D6_C012
Q76,Why are one-piece zirconia implants clinically interesting despite fabrication challenges?,ceramic,unseen,A,A,A,D6_C011;D6_C006;D6_C038;D6_C010
Q77,Which reported outcome showed non-submerged zirconia implants lower than submerged zirconia implants in the cited minipig study?,ceramic,unseen,D,D,D,D6_C044;D6_C014;D6_C050;D6_C048
Q78,What was a reported effect of UV treatment on zirconia implant surfaces?,ceramic,unseen,D,D,D,D6_C014;D6_C069;D6_C070;D6_C095
Q79,Which combination was discussed as a zirconia-containing composite coating for orthopedic implants?,composite,unseen,C,C,C,D6_C055;D6_C054;D6_C098;D6_C090
Q80,Which specific parameter cannot be concluded from the provided zirconia and HAp composite reviews alone?,general,unseen,E,E,E,D6_C104;D6_C095;D6_C090;D6_C020
Q81,Why are gelatin-based biogels attractive for sensors?,polymer,unseen,A,A,A,D11_C009;D11_C020;D11_C015;D11_C014
Q82,What limits conventional gelatin biogels?,polymer,unseen,C,C,C,D11_C008;D11_C018;D11_C019;D11_C007
Q83,Which strategy improves biogel toughness?,polymer,unseen,C,C,C,D11_C019;D11_C006;D11_C018;D11_C013
Q84,Why are crosslinking interactions important in biogels?,polymer,unseen,E,E,E,D3_C004;D11_C007;D11_C008;D11_C006
